Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2022,Saitama Seibu Lions,enns--000die,Dietrich Enns*,31,10,7,0.588,2.94,23,NA,NA,0,0,0,122.1,103,44,40,14,45,0,92,3,0,0,506,1.21,7.6,1,3.3,6.8,2.04
2022,Saitama Seibu Lions,hirai-000kat,Katsunori Hirai,30,6,8,0.429,2.89,30,NA,NA,0,0,0,81,77,34,26,7,27,1,48,6,0,1,349,1.284,8.6,0.8,3,5.3,1.78
2022,Saitama Seibu Lions,honda-000kei,Keisuke Honda,29,4,2,0.667,1.97,45,NA,NA,0,0,0,50.1,37,11,11,2,15,1,33,3,0,3,202,1.033,6.6,0.4,2.7,5.9,2.2
2022,Saitama Seibu Lions,imai--000tat,Tatsuya Imai,24,5,1,0.833,2.41,9,NA,NA,0,0,0,59.2,37,16,16,3,34,0,61,5,0,1,246,1.19,5.6,0.5,5.1,9.2,1.79
2022,Saitama Seibu Lions,kumon-000kat,Katsuhiko Kumon*,30,0,0,NA,0,18,NA,NA,0,0,0,9,5,0,0,0,5,0,8,1,0,0,36,1.111,5,0,5,8,1.6
2022,Saitama Seibu Lions,masuda000tat,Tatsushi Masuda,34,2,5,0.286,2.45,52,NA,NA,0,0,31,51.1,37,14,14,7,10,3,34,0,0,0,200,0.916,6.5,1.2,1.8,6,3.4
2022,Saitama Seibu Lions,matsum000wat,Wataru Matsumoto,25,7,6,0.538,3.19,21,NA,NA,1,0,0,129.2,106,49,46,8,44,1,104,3,0,3,536,1.157,7.4,0.6,3.1,7.2,2.36
2022,Saitama Seibu Lions,miyaga000tet,Tetsu Miyagawa,26,1,0,1,2.59,45,NA,NA,0,0,1,48.2,46,17,14,3,19,1,44,0,0,3,205,1.336,8.5,0.6,3.5,8.1,2.32
2022,Saitama Seibu Lions,mizuka001yos,Yoshinobu Mizukami,23,4,4,0.5,1.77,60,NA,NA,0,0,1,56,34,13,11,1,17,1,40,5,0,4,218,0.911,5.5,0.2,2.7,6.4,2.35
2022,Saitama Seibu Lions,moriwa000ryo,Ryosuke Moriwaki,29,1,1,0.5,1.72,43,NA,NA,0,0,1,36.2,30,10,7,2,8,1,33,2,0,0,148,1.036,7.4,0.5,2,8.1,4.13
2022,Saitama Seibu Lions,omagar000ren,Ren Omagari,24,0,0,NA,6.35,6,NA,NA,0,0,0,5.2,5,5,4,0,4,0,0,0,0,0,25,1.588,7.9,0,6.4,0,0
2022,Saitama Seibu Lions,sano--000yas,Yasuo Sano*,29,0,0,NA,0,2,NA,NA,0,0,0,2,0,0,0,0,2,0,0,1,0,0,9,1,0,0,9,0,0
2022,Saitama Seibu Lions,sasaki003tak,Takeru Sasaki*,26,3,0,1,3.03,37,NA,NA,0,0,0,29.2,29,11,10,0,18,1,24,4,0,1,135,1.584,8.8,0,5.5,7.3,1.33
2022,Saitama Seibu Lions,sato--001shu,Shunsuke Sato*,22,3,4,0.429,4.6,12,NA,NA,0,0,0,47,47,26,24,1,22,0,33,4,0,1,205,1.468,9,0.2,4.2,6.3,1.5
2022,Saitama Seibu Lions,smith-003bur,Burch Smith,32,1,0,1,3.29,20,NA,NA,0,0,1,38.1,30,16,14,0,14,0,37,1,0,0,156,1.148,7,0,3.3,8.7,2.64
2022,Saitama Seibu Lions,sumida000chi,Chihiro Sumida*,22,1,10,0.091,3.75,16,NA,NA,0,0,0,81.2,90,38,34,4,30,0,73,1,0,4,357,1.469,9.9,0.4,3.3,8,2.43
2022,Saitama Seibu Lions,taira-000kai,Kaima Taira,22,1,3,0.25,1.56,61,NA,NA,0,0,9,57.2,36,15,10,2,18,4,75,2,0,3,226,0.936,5.6,0.3,2.8,11.7,4.17
2022,Saitama Seibu Lions,takaha000rod,Bo Takahashi,25,0,0,NA,2.56,27,NA,NA,0,0,0,31.2,19,14,9,2,15,0,26,7,0,1,133,1.074,5.4,0.6,4.3,7.4,1.73
2022,Saitama Seibu Lions,takaha000kon,Kona Takahashi,25,12,8,0.6,2.2,26,NA,NA,0,0,0,175.2,153,48,43,9,51,2,128,11,0,5,705,1.161,7.8,0.5,2.6,6.6,2.51
2022,Saitama Seibu Lions,tamura000ich,Ichiro Tamura,27,0,0,NA,6,3,NA,NA,0,0,0,3,3,2,2,0,1,0,1,0,0,1,13,1.333,9,0,3,3,1
2022,Saitama Seibu Lions,togame000ken,Ken Togame,34,0,0,NA,2.35,13,NA,NA,0,0,0,15.1,15,11,4,2,8,1,15,1,0,1,70,1.5,8.8,1.2,4.7,8.8,1.88
2022,Saitama Seibu Lions,utsumi001tet,Tetsuya Utsumi*,40,0,1,0,3,5,NA,NA,0,0,0,12,12,4,4,2,2,0,8,0,0,0,50,1.167,9,1.5,1.5,6,4
2022,Saitama Seibu Lions,watana001yut,Yutaro Watanabe,21,1,1,0.5,6.08,3,NA,NA,0,0,0,13.1,15,11,9,1,11,0,6,1,0,2,67,1.95,10.1,0.7,7.4,4.1,0.55
2022,Saitama Seibu Lions,yoza--000kai,Kaito Yoza,26,10,7,0.588,2.88,20,NA,NA,1,1,0,115.2,104,39,37,11,16,0,61,4,0,2,463,1.037,8.1,0.9,1.2,4.7,3.81
