Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Team,Year,PlayerID
1,Kohei Arihara,30,10,5,0.667,2.31,17,NA,NA,1,1,0,120.2,105,40,31,13,25,1,74,7,0,1,490,1.077,7.8,1,1.9,5.5,2.96,Fukuoka Softbank Hawks,2023,arihar000koh
2,Yugo Bandoh,27,5,4,0.556,3.04,30,NA,NA,0,0,0,83,73,32,28,5,34,0,58,3,0,1,349,1.289,7.9,0.5,3.7,6.3,1.71,Fukuoka Softbank Hawks,2023,bando-000yug
3,Kouya Fujii,26,5,3,0.625,2.33,34,NA,NA,0,0,0,69.2,46,21,18,3,33,1,84,7,0,1,288,1.134,5.9,0.4,4.3,10.9,2.55,Fukuoka Softbank Hawks,2023,fujii-000koy
4,Yuri Furukawa,27,0,0,NA,4.5,9,NA,NA,0,0,0,10,12,5,5,3,1,0,11,0,0,0,42,1.3,10.8,2.7,0.9,9.9,11,Fukuoka Softbank Hawks,2023,furuka000yur
5,Joe Gunkel,31,0,1,0,5.82,5,NA,NA,0,0,0,17,21,14,11,3,5,0,11,2,0,0,80,1.529,11.1,1.6,2.6,5.8,2.2,Fukuoka Softbank Hawks,2023,gunkel000joe
6,Darwinzon Hernández*,26,0,0,NA,27,1,NA,NA,0,0,0,0.2,3,2,2,1,1,0,1,1,0,0,7,6,40.5,13.5,13.5,13.5,1,Fukuoka Softbank Hawks,2023,hernan002dar
7,Nao Higashihama,33,6,7,0.462,4.52,17,NA,NA,0,0,0,99.2,114,50,50,6,24,0,73,0,0,1,428,1.385,10.3,0.5,2.2,6.6,3.04,Fukuoka Softbank Hawks,2023,higash001nao
8,Shuta Ishikawa,31,4,8,0.333,4.15,23,NA,NA,1,1,0,125.2,108,63,58,15,61,2,119,8,0,3,550,1.345,7.7,1.1,4.4,8.5,1.95,Fukuoka Softbank Hawks,2023,ishika000syu
9,Keisuke Izumi,26,0,0,NA,16.88,3,NA,NA,0,0,0,2.2,4,5,5,1,3,0,2,2,0,0,17,2.625,13.5,3.4,10.1,6.8,0.67,Fukuoka Softbank Hawks,2023,izumi-000kei
10,Hiroshi Kaino,26,3,1,0.75,2.53,46,NA,NA,0,0,2,42.2,33,12,12,2,13,0,39,2,0,0,172,1.078,7,0.4,2.7,8.2,3,Fukuoka Softbank Hawks,2023,kaino-000hir
11,Shunsuke Kasaya*,26,0,0,NA,1.59,8,NA,NA,0,0,0,11.1,8,2,2,0,8,0,11,0,0,0,47,1.412,6.4,0,6.4,8.7,1.38,Fukuoka Softbank Hawks,2023,kasaya000shu
12,Shinya Kayama*,33,1,0,1,5.25,23,NA,NA,0,0,0,12,16,7,7,1,6,0,7,1,0,0,56,1.833,12,0.8,4.5,5.3,1.17,Fukuoka Softbank Hawks,2023,kayama000shi
13,Katsuki Matayoshi,32,2,2,0.5,2.25,32,NA,NA,0,0,0,28,21,7,7,2,10,0,15,2,0,1,113,1.107,6.8,0.6,3.2,4.8,1.5,Fukuoka Softbank Hawks,2023,matayo000kat
14,Haru Matsumoto*,22,0,1,0,7.11,3,NA,NA,0,0,0,6.1,8,5,5,0,3,0,4,1,0,0,31,1.737,11.4,0,4.3,5.7,1.33,Fukuoka Softbank Hawks,2023,matsum001har
15,Yuki Matsumoto,27,2,2,0.5,2.68,53,NA,NA,0,0,0,47,32,16,14,5,17,1,60,0,0,1,189,1.043,6.1,1,3.3,11.5,3.53,Fukuoka Softbank Hawks,2023,matsum003yuk
