Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2017,Chunichi Dragons,abe---001tos,Toshiki Abe,27,21,46,41,3,11,1,0,0,2,1,0,4,13,0.268,0.333,0.293,0.626,12,0,0,1,0,0
2017,Chunichi Dragons,achira000tak,Takuma Achira,24,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,Chunichi Dragons,araki-001mas,Masahiro Araki,39,85,267,249,17,62,6,1,0,8,5,0,13,41,0.249,0.286,0.281,0.567,70,8,0,5,0,0
2017,Chunichi Dragons,donoue001nao,Naomichi Donoue,28,91,167,151,11,31,7,0,1,8,0,1,9,39,0.205,0.25,0.272,0.522,41,4,0,7,0,0
2017,Chunichi Dragons,endo--000iss,Issei Endoh*,28,50,109,102,4,23,3,1,2,11,2,1,4,28,0.226,0.262,0.333,0.595,34,1,1,2,0,0
2017,Chunichi Dragons,fujii-001ats,Atsushi Fujii,36,128,408,374,29,99,18,3,6,42,5,6,24,96,0.265,0.311,0.377,0.688,141,6,2,6,2,0
2017,Chunichi Dragons,fukuda001nob,Nobumasa Fukuda,28,95,326,299,37,81,19,0,18,49,0,1,21,70,0.271,0.328,0.515,0.843,154,4,5,0,1,0
2017,Chunichi Dragons,guerre002ale,Alex Guerrero,30,130,510,469,67,131,22,3,35,86,1,0,24,98,0.279,0.333,0.563,0.896,264,13,15,0,2,0
2017,Chunichi Dragons,hirata001ryo,Ryosuke Hirata,29,66,270,238,26,58,14,2,6,29,4,0,29,60,0.244,0.326,0.395,0.721,94,4,1,0,2,0
2017,Chunichi Dragons,iryo--000mas,Masataka Iryo*,27,22,34,32,2,7,2,0,0,3,0,0,2,6,0.219,0.265,0.281,0.546,9,0,0,0,0,0
2017,Chunichi Dragons,ishiga000mas,Masami Ishigaki,18,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2017,Chunichi Dragons,ishika002shu,Shun Ishikawa,27,9,17,17,1,6,0,0,1,1,0,0,0,5,0.353,0.353,0.529,0.882,9,0,0,0,0,0
2017,Chunichi Dragons,ishiok000ryo,Ryota Ishioka*,25,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,Chunichi Dragons,ito---001jun,Junki Itoh*,26,39,9,8,0,1,0,0,0,1,0,0,0,2,0.125,0.125,0.125,0.25,1,1,0,1,0,0
2017,Chunichi Dragons,iwasak001tat,Tatsuro Iwasaki,32,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,Chunichi Dragons,kameza000kyo,Kyohei Kamezawa*,28,98,290,254,31,73,5,0,2,13,6,6,13,30,0.287,0.327,0.331,0.658,84,1,3,18,2,0
2017,Chunichi Dragons,kasaha001sho,Shotaro Kasahara*,22,18,9,7,0,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,1,0,0,2,0,0
2017,Chunichi Dragons,kato--006tak,Takuma Katoh,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Chunichi Dragons,kinosh000tak,Takuya Kinoshita,25,51,94,78,4,15,5,0,0,4,0,0,10,21,0.192,0.289,0.256,0.545,20,4,1,4,1,1
2017,Chunichi Dragons,kondo-002hir,Hiroki Kondo,24,14,33,29,5,6,1,0,1,1,0,0,3,7,0.207,0.281,0.345,0.626,10,1,0,1,0,0
2017,Chunichi Dragons,kudoh-001tak,Takahito Kudo*,36,82,58,51,12,12,1,0,0,0,3,1,3,13,0.235,0.278,0.255,0.533,13,1,0,4,0,1
2017,Chunichi Dragons,kyoda-000yot,Yota Kyoda*,23,141,602,564,67,149,23,8,4,36,23,13,18,105,0.264,0.297,0.355,0.652,200,5,9,10,1,0
2017,Chunichi Dragons,maruya002tai,Taisuke Maruyama,22,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,Chunichi Dragons,matayo000kat,Katsuki Matayoshi,26,50,21,20,0,1,0,0,0,1,0,0,0,13,0.05,0.05,0.05,0.1,1,1,0,1,0,0
2017,Chunichi Dragons,matsui001mas,Masato Matsui*,29,87,244,208,22,46,7,1,2,17,0,0,22,63,0.221,0.303,0.293,0.597,61,3,3,10,1,0
2017,Chunichi Dragons,matsui001yus,Yusuke Matsui,29,56,129,119,17,33,7,0,4,18,0,0,6,38,0.277,0.328,0.437,0.765,52,2,3,1,0,1
2017,Chunichi Dragons,mitsum000tak,Takuya Mitsuma,24,35,3,2,1,0,0,0,0,0,0,0,1,2,0,0.333,0,0.333,0,0,0,0,0,0
2017,Chunichi Dragons,mitsum000tai,Taiki Mitsumata,25,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,Chunichi Dragons,mizowa000hay,Hayato Mizowaki*,23,12,16,14,1,1,0,0,1,1,0,0,2,5,0.071,0.188,0.286,0.473,4,1,0,0,0,0
2017,Chunichi Dragons,morino001mas,Masahiko Morino*,38,22,48,41,4,10,2,0,0,1,0,1,5,3,0.244,0.326,0.293,0.619,12,1,0,2,0,0
